account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100,ideology2,phi
Enzo_Pineda,0.1666667,18,1,668049,master only (1),-0.48012919,
MaiaMitchell,0.1666667,42,1,928965,master only (1),-2.027773593,
TonyOElumelu,0.1666667,42,1,1030187,master only (1),-0.798196285,
SethGreen,0.1666667,186,1,1490471,master only (1),-1.197697983,
stevenbjohnson,0.1657754,187,1,1178503,master only (1),-1.550630175,
AliHZaidiPTI,0.1650943,424,1,914654,master only (1),0,
makaumutua,0.164557,237,1,682706,master only (1),0.131050769,
SteveCase,0.1641791,1608,1,745369,master only (1),0.930947522,
dooce,0.1636364,55,1,1284741,master only (1),-1.714045689,
SowetanLIVE,0.1633333,2400,1,919688,master only (1),0.186086319,
jenniferstone,0.1621622,74,1,1105980,master only (1),-1.320834705,
nelsonchamisa,0.16171,538,1,646416,master only (1),0.663415455,
WhoSunilGrover,0.1616162,99,1,5721787,master only (1),0.299024124,
iHrithik,0.1615385,130,1,27172874,matched (3),-0.870451689,
ShamsCharania,0.1613924,316,1,776588,master only (1),-0.16239603,
trish_regan,0.1609907,646,1,692684,master only (1),1.397869246,
sarahaines,0.1607143,56,1,553498,master only (1),0.626600998,
BillOReilly,0.1606335,442,1,3191406,master only (1),2.135578877,
richardpbacon,0.1605096,785,1,1307301,master only (1),0.600738571,
Keir_Starmer,0.1600877,456,1,723056,master only (1),0.241542273,
JinxxBVB,0.16,25,1,566188,master only (1),-1.022161037,
Laurie_Holden,0.16,25,1,515655,master only (1),-0.937554671,
vp_offl,0.1597222,144,1,3148377,master only (1),0.123460112,
ShyBoy,0.1588785,107,1,820185,master only (1),-1.74930591,
brithume,0.158794,995,1,1216656,master only (1),1.501645821,
imVkohli,0.1585366,82,1,32059749,matched (3),0.52493031,
SamHarrisOrg,0.1575092,273,1,1342793,master only (1),0.2757747,
Mehreenpirzada,0.1574074,108,1,1259690,master only (1),-1.046014982,
GrantWahl,0.1573557,1074,1,858455,master only (1),-1.373513419,
mrsfunnybones,0.1571429,140,1,5402597,master only (1),0.014730694,
joshwiddicombe,0.1565217,115,1,512055,master only (1),-0.003132871,
denise_vanouten,0.1559322,295,1,684311,master only (1),-0.788991717,
RandPaul,0.1558935,263,1,2763933,master only (1),1.455435166,
BJCalvillo,0.1555556,45,1,800191,master only (1),0.795894877,
bukolasaraki,0.1553398,103,1,1832006,master only (1),0.140379679,
Ama_K_Abebrese,0.1551724,116,1,528768,master only (1),-1.802631741,
sridevisreedhar,0.1550802,1309,1,614784,master only (1),0,
chrisfroome,0.1546392,97,1,1544058,master only (1),0.764401776,
MohanShakti,0.1545741,317,1,643290,master only (1),0.279105509,
LeahRemini,0.1544118,136,1,678805,master only (1),-1.336017207,
MRodOfficial,0.1543624,149,1,1016247,master only (1),0.031757104,
ElizabethHurley,0.1538462,13,1,565516,master only (1),0,
Caspar_Lee,0.1538462,26,1,5669696,master only (1),-0.332972231,
Gautham_Karthik,0.1538462,26,1,972121,master only (1),0.737177159,
kritisanon,0.1538462,117,1,5263355,master only (1),-0.65000758,
campbellclaret,0.1529235,2001,1,622733,master only (1),0.814924264,
sumona24,0.1528662,157,1,1362847,master only (1),-0.955814176,
ezraklein,0.1526718,655,1,2601057,master only (1),-1.003101464,
itskcconcepcion,0.1525424,118,1,5505165,master only (1),-0.765657747,
MikeBloomberg,0.1520376,638,1,2760460,master only (1),-0.880662938,
Azania_,0.151751,257,1,511083,master only (1),0.113675345,
parthiv9,0.1512605,119,1,1816429,master only (1),0,
nico_rosberg,0.1505376,93,1,2318038,master only (1),0.031004721,
sapinker,0.1504425,339,1,614149,master only (1),1.40452721,
staceyabrams,0.1503268,612,1,697791,master only (1),-1.640484846,
Franklin_Graham,0.1502591,965,1,2217966,master only (1),1.661394791,
Karthi_Offl,0.15,20,1,1273526,master only (1),0.539089587,
AjuVarghesee,0.15,40,1,606156,master only (1),-1.043118668,
richyricha,0.15,100,1,720884,master only (1),0.576562198,
peterfacinelli,0.15,140,1,1731021,master only (1),0,
ajaymaken,0.15,260,1,737957,master only (1),0.244311434,
chelseahandler,0.1489362,235,1,8235868,master only (1),-1.550460477,
NaomiAKlein,0.1486726,2825,1,635995,master only (1),-2.025870207,
RBReich,0.1475556,1125,1,879745,master only (1),-1.332171912,
FullFrontalSamB,0.1464738,553,1,609029,master only (1),-1.707061142,
TellyTalkIndia,0.1460177,1808,1,1964515,master only (1),0.303191082,
KlayThompson,0.1428571,7,1,1365978,master only (1),-2.292525779,
TSM_Daequan,0.1428571,14,1,1722605,master only (1),-0.771252809,
mdk_gul,0.1428571,21,1,1083216,master only (1),0,
