account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
ClaudiaWinkle,.1041667,48,1,907649,master only (1)
AnilKapoor,.104101,317,1,5613087,master only (1)
GretchenRossi,.1038961,77,1,661985,master only (1)
RailaOdinga,.1034483,87,1,2572472,master only (1)
DianaPenty,.1030928,97,1,1413627,master only (1)
UrvashiRautela,.1028807,243,1,599614,master only (1)
Jahmene,.1025641,195,1,518705,master only (1)
Bethenny,.1024306,576,1,1618501,master only (1)
djmotwister,.1022727,176,1,1126960,master only (1)
Kasparov63,.1020942,764,1,550295,master only (1)
dosomething,.1018998,579,1,746591,master only (1)
dezeen,.1015547,3023,1,968458,master only (1)
nervomusic,.1013825,217,1,1058658,master only (1)
AdvDali_Mpofu,.1013699,365,1,596154,master only (1)
paulkrugman,.1009174,654,1,4618600,master only (1)
RGrosjean,.1006289,159,1,858905,master only (1)
SarahHuckabee,.1005291,189,1,587828,master only (1)
NDJ_Official,.1,40,1,848882,master only (1)
SenMikeLee,.1,150,1,577650,master only (1)
SisterHazelBand,.1,50,1,581968,master only (1)
SuzeOrmanShow,.1,230,1,1438087,master only (1)
hershybru,.1,120,1,631964,master only (1)
hughlaurie,.1,30,1,1427697,master only (1)
PopWrapped,.0991379,232,1,563318,master only (1)
MadhuriDixit,.0987654,243,1,8773064,master only (1)
arden_cho,.0987654,81,1,794808,master only (1)
kimguilfoyle,.0985761,913,1,1714342,master only (1)
abikedabiri,.0983763,1047,1,580034,master only (1)
MutahiNgunyi,.0983607,61,1,1400128,master only (1)
sueperkins,.0981595,163,1,1114264,master only (1)
HamiltonAnthony,.0980392,153,1,535508,master only (1)
rhettmc,.0980392,102,1,680074,master only (1)
IanMcKellen,.097561,123,1,4044314,master only (1)
bobsaget,.0971429,175,1,2368915,master only (1)
SimranbaggaOffc,.0969697,165,1,550714,master only (1)
DiamondandSilk,.096841,1931,1,1440673,master only (1)
SDhawan25,.0967742,62,1,4591145,master only (1)
cl_atlanta,.0966057,383,1,742319,master only (1)
coldplay,.0964912,114,1,23721224,matched (3)
serjtankian,.0963855,83,1,564794,master only (1)
SidMalhotra,.0956522,115,1,9543621,master only (1)
BoringMilner,.0952381,21,1,661686,master only (1)
Schofe,.0952381,42,1,4596442,master only (1)
chamillionaire,.0952381,21,1,769508,master only (1)
kenradio,.0952381,147,1,995347,master only (1)
GarySinise,.0947368,95,1,690682,master only (1)
muselk,.0945946,74,1,867635,master only (1)
76Shadabkhan,.0943396,106,1,658807,master only (1)
EmilyOsment,.0943396,53,1,3323741,master only (1)
HeatherDubrow,.0943396,53,1,662369,master only (1)
RonJichardson,.0943396,53,1,692307,master only (1)
DHughesy,.0935961,406,1,709892,master only (1)
