account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
McJesse,0.0723781,677,0.9285714,1183746,master only (1)
RufusHound,0.0711712,1110,0.9285714,1117980,master only (1)
thevirdas,0.0696056,1293,0.9285714,7874221,master only (1)
JackPhan,0.0501253,399,0.9285714,1221906,master only (1)
PearlModiadie,0.0483619,641,0.9285714,1767177,master only (1)
laurDIY,0.0434783,391,0.9285714,5982006,master only (1)
DavidVonderhaar,0.0358974,195,0.9285714,1212174,master only (1)
geoffkeighley,0.0176211,227,0.9285714,1154782,master only (1)
KREAYSHAWN,0,3,0.9285714,573593,master only (1)
Tejasvi_Surya,,,0.9285714,519770,master only (1)
timlovejoy,,,0.9285714,653419,master only (1)
LivEchoLFC,,,0.9274809,687060,master only (1)
bryanboy,0.0774083,1744,0.9268293,514550,master only (1)
BillRatchet,0.051458,583,0.9268293,501619,master only (1)
IAmJericho,0.0287958,2292,0.9259259,3615817,master only (1)
djsbu,0.1285552,1758,0.9253333,864686,master only (1)
JonHeyman,0.0289855,690,0.925,619154,master only (1)
bomani_jones,0.0122309,2044,0.9245283,504335,master only (1)
RobertAlai,0.0511057,2035,0.9240506,1447012,master only (1)
himantabiswa,0.4671986,1128,0.9230769,677941,master only (1)
scrowder,0.2872063,766,0.9230769,1039053,master only (1)
MEAIndia,0.2334025,964,0.9230769,2051717,master only (1)
narendramodi,0.218599,828,0.9230769,56888997,matched (3)
asadowaisi,0.2047761,1675,0.9230769,1386473,master only (1)
ritaUdominic,0.1463878,526,0.9230769,1056512,master only (1)
kristenschaaled,0.095082,610,0.9230769,956306,master only (1)
PacdWeu,0.0930343,2096,0.9230769,1008432,master only (1)
DLoesch,0.0871307,1997,0.9230769,1223010,master only (1)
DougBenson,0.0433213,277,0.9230769,836600,master only (1)
jk_rowling,0.0414938,964,0.9230769,14651215,master only (1)
steveaoki,0.0413333,750,0.9230769,8392215,master only (1)
Dynamomagician,0.0318841,345,0.9230769,2131267,master only (1)
