account_handle,COVID_tweet,total_tweets_from_feb1_to_may30,perc_en,max_followers,merged_top100
WTFFacts,0.0625,16,1,702448,master only (1)
Amala_ams,0.0625,32,1,2016373,master only (1)
MrsAnneTwist,0.0625,32,1,1893440,master only (1)
Teeqo,0.0625,32,1,1306200,master only (1)
JakePittsBVB,0.0625,64,1,552538,master only (1)
god,0.0625,80,1,529573,master only (1)
IdolsSA,0.0625,80,1,918180,master only (1)
UEFA,0.0625,336,1,1194893,master only (1)
goldenglobes,0.062201,209,1,1343823,master only (1)
AmyJoMartin,0.0621469,177,1,967535,master only (1)
marieltpadilla,0.0620155,129,1,2053865,master only (1)
RollingStoneIN,0.0620032,629,1,798189,master only (1)
BETMusic,0.0619883,1710,1,5673141,master only (1)
EllenPage,0.0619835,242,1,1465446,master only (1)
9to5mac,0.0618682,2473,1,599007,master only (1)
WahabViki,0.0618557,97,1,2144077,master only (1)
Habitat_org,0.061674,227,1,1078638,master only (1)
CERN,0.0616114,211,1,2569499,master only (1)
PenguinUKBooks,0.0615616,1332,1,1888383,master only (1)
BorisKodjoe,0.0615385,65,1,564816,master only (1)
gabrielconte,0.0615385,65,1,618758,master only (1)
chuckpalahniuk,0.0615385,130,1,531308,master only (1)
melissagorga,0.0615385,130,1,919813,master only (1)
MrGeorgeWallace,0.0615385,195,1,853045,master only (1)
KirkHerbstreit,0.0614887,309,1,1573416,master only (1)
Nigel_Farage,0.0608974,312,1,1530804,master only (1)
TheVampsCon,0.0608696,115,1,1924481,master only (1)
SriSri,0.0607287,247,1,4207831,master only (1)
accessonline,0.0606759,2604,1,960164,master only (1)
1PhoebeJTonkin,0.0606061,66,1,1173628,master only (1)
AnnyAuroraPorn,0.0606061,66,1,584067,master only (1)
GlamLifeGuru,0.0604027,149,1,1419029,master only (1)
angiemartinez,0.0603448,116,1,1047077,master only (1)
caitylotz,0.060241,166,1,546037,master only (1)
glamour_fashion,0.0601626,1230,1,2061737,master only (1)
TripAdvisor,0.0601318,1214,1,3530827,master only (1)
WhatsTrending,0.0598504,401,1,899673,master only (1)
NefuDaBoss,0.0597701,435,1,514161,master only (1)
ShekharRavjiani,0.0597015,134,1,2415995,master only (1)
WWF,0.0597015,134,1,4001074,master only (1)
VVSLaxman281,0.0595238,84,1,6802148,master only (1)
ActorMadhavan,0.0594901,353,1,2723204,master only (1)
cricbuzz,0.0594615,2674,1,4310191,master only (1)
BenSPLATT,0.0594059,101,1,572435,master only (1)
tmorello,0.0593824,421,1,612862,master only (1)
KeriHilson,0.0593607,219,1,4297088,master only (1)
konavenkat99,0.0592593,135,1,992827,master only (1)
earthskyscience,0.0592255,439,1,888336,master only (1)
iPhone_News,0.0592052,1233,1,809372,master only (1)
HeathHussar,0.0588235,17,1,1372721,master only (1)
JerryBrownGov,0.0588235,34,1,1098863,master only (1)
LukeKorns,0.0588235,34,1,703658,master only (1)
ChadMMurray,0.0588235,51,1,778991,master only (1)
Converse,0.0588235,51,1,1081074,master only (1)
